word,meaning,meaning_vi,phonetics,note,example,type,level
juice,the liquid that comes from fruit or vegetables; a drink made from this,nước ép,/dʒuːs/,the liquid that comes from fruit or vegetables; a drink made from this,Orange juice is my favourite drink.,noun,A1
keep,to continue to have something and not give it back or throw it away,giữ,/kiːp/,to continue to have something and not give it back or throw it away,He keeps all her letters.,verb,A1
key,"a piece of metal with a special shape used for locking a door, starting a car, etc.",chìa khóa,/kiː/,"a piece of metal with a special shape used for locking a door, starting a car, etc.",I can't find my house key and I'm locked out.,noun,A1
kilometre,a unit for measuring distance; 1 000 metres,kilomet,/kɪˈlɒmɪtə(r)/ /ˈkɪləmiːtə(r)/,a unit for measuring distance; 1 000 metres,The industrial estate is 6 kilometres from the city centre.,noun,A1
kind,"generous, helpful, and thinking about other people's feelings","tốt bụng, tử tế",/kaɪnd/,"generous, helpful, and thinking about other people's feelings","It's always important to be kind to others, even if they don't show the same kindness in return.",adjective,A1
kitchen,a room in which meals are cooked or prepared,"nhà bếp, phòng bếp",/ˈkɪtʃɪn/,a room in which meals are cooked or prepared,We ate at the kitchen table.,noun,A1
know,to have information in your mind as a result of experience or because you have learned or been told it,biết,/nəʊ/,to have information in your mind as a result of experience or because you have learned or been told it,No one knows the answer.,verb,A1
land,the surface of the earth that is not sea,"đất, đất liền",/lænd/,the surface of the earth that is not sea,The new project will reclaim the land from the sea.,noun,A1
language,the system of communication in speech and writing that is used by people of a particular country or area,"ngôn ngữ, tiếng",/ˈlæŋɡwɪdʒ/,the system of communication in speech and writing that is used by people of a particular country or area,Learning a new language can be challenging but also rewarding.,noun,A1
large,big in size or quantity,"to, lớn, rộng",/lɑːdʒ/,big in size or quantity,I need a large pizza because I'm having friends over for dinner.,adjective,A1
last,happening or coming after all other similar things or people,cuối cùng,/læst/,happening or coming after all other similar things or people,We caught the last bus home.,determiner,A1
late,"arriving, happening or done after the expected, arranged or usual time","trễ, muộn",/leɪt/,"arriving, happening or done after the expected, arranged or usual time",I'm sorry I'm late.,adjective,A1
later,at a time in the future; after the time you are talking about,"sau đó, chậm hơn",/ˈleɪtə(r)/,at a time in the future; after the time you are talking about,See you later.,adverb,A1
laugh,to make the sounds and movements of your face that show you think something is funny or silly,"cười, vui cười",/lɑːf/,to make the sounds and movements of your face that show you think something is funny or silly,The comedian's jokes made everyone in the audience laugh out loud.,verb,A1
learn,"to gain knowledge or skill by studying, from experience, from being taught, etc.",học,/lɜːn/,"to gain knowledge or skill by studying, from experience, from being taught, etc.",I want to learn a new language to communicate better with people from other countries.,verb,A1
leave,to go away from a person or a place,"bỏ đi, rời đi",/liːv/,to go away from a person or a place,"Come on, it's time for us to leave.",verb,A1
left,on the side of your body that is towards the west when you are facing north,bên trái,/left/,on the side of your body that is towards the west when you are facing north,Fewer people write with their left hand than with their right.,adjective,A1
leg,one of the long parts that connect the feet to the rest of the body,"chân (người, con vật, bàn ghế…)",/leɡ/,one of the long parts that connect the feet to the rest of the body,"Sit on the floor, stretching your legs out in front of you.",noun,A1
lesson,a period of time in which somebody is taught something,bài học; buổi học,/ˈlesn/,a period of time in which somebody is taught something,I have a math lesson at 10 AM tomorrow.,noun,A1
let,used for making requests or giving instructions,"hãy, để, phải",/let/,used for making requests or giving instructions,Let me help you!,verb,A1
letter,"a written, typed or printed message that is put in an envelope or attached to an email and sent to somebody",thư; thư từ; thư tín,/ˈletə(r)/,"a written, typed or printed message that is put in an envelope or attached to an email and sent to somebody",I received a letter from my friend who lives abroad.,noun,A1
library,"a building in which collections of books, newspapers, etc. and sometimes films and recorded music are kept for people to read, study or borrow",thư viện,/ˈlaɪbrəri/ /ˈlaɪbri/,"a building in which collections of books, newspapers, etc. and sometimes films and recorded music are kept for people to read, study or borrow",We go to the library twice a week.,noun,A1
lie,to be or put yourself in a flat position so that you are not standing or sitting,"nằm, nằm nghỉ",/laɪ/,to be or put yourself in a flat position so that you are not standing or sitting,My dog likes to lie in the sun and soak up the warmth.,verb,A1
life,"the ability to breathe, grow, produce young, etc. that people, animals and plants have before they die and that objects do not have","cuộc sống, sự sống",/laɪf/,"the ability to breathe, grow, produce young, etc. that people, animals and plants have before they die and that objects do not have",This could mean the difference between life and death.,noun,A1
light,"the energy from the sun, a lamp, etc. that makes it possible to see things",ánh sáng,/laɪt/,"the energy from the sun, a lamp, etc. that makes it possible to see things",The morning light is so bright that it wakes me up early.,noun,A1
like,to enjoy or approve of something or someone,thích,/laɪk/,to enjoy or approve of something or someone,Do you like fish?,verb,A1
line,"a long, thin mark on a surface","đường, đường kẻ",/laɪn/,"a long, thin mark on a surface",Sign your name on the dotted line.,noun,A1
lion,"a large, powerful animal of the cat family that hunts in groups and lives in parts of Africa and southern Asia. Lions have yellow-brown fur and the male has a mane (= long, thick hair round its neck).",con sư tử,/ˈlaɪən/,"a large, powerful animal of the cat family that hunts in groups and lives in parts of Africa and southern Asia. Lions have yellow-brown fur and the male has a mane (= long, thick hair round its neck).",The lion shook its mane and roared.,noun,A1
list,"a series of names, items, figures, etc., especially when they are written or printed","danh sách, bản kê",/lɪst/,"a series of names, items, figures, etc., especially when they are written or printed",The guest list includes numerous celebrities.,noun,A1
listen,to pay attention to somebody/something that you can hear,"nghe, lắng nghe",/ˈlɪsn/,to pay attention to somebody/something that you can hear,Listen! What's that noise? Can you hear it?,verb,A1
little,not big; small; smaller than others,nhỏ,/ˈlɪtl/,not big; small; smaller than others,My little sister always wants to play with my toys.,adjective,A1
live,to have your home in a particular place,sống,/lɪv/,to have your home in a particular place,I live in Ha Noi.,verb,A1
local,belonging to or connected with the particular place or area that you are talking about or with the place where you live,(thuộc) địa phương,/ˈləʊkl/,belonging to or connected with the particular place or area that you are talking about or with the place where you live,I like to support local businesses whenever I can.,adjective,A1
